date,open,high,low,close,volume,Name,Marketcap
2020-10-05,52.67503496,55.11235847,49.78789992,53.21924296,0,AAVE,89128128.86
2020-10-06,53.29196931,53.40227002,40.73457791,42.40159861,583091.4598,AAVE,71011441.25
2020-10-07,42.39994711,42.40831364,35.97068975,40.08397561,682834.1863,AAVE,67130036.9
2020-10-08,39.88526234,44.90251114,36.69605677,43.76446306,1658816.923,AAVE,220265142.1
2020-10-09,43.76446306,47.56953274,43.2917758,46.81774415,815537.6608,AAVE,235632208.2
2020-10-10,46.81814554,51.4056548,46.70332768,49.13371767,1074627.028,AAVE,247288428.8
2020-10-11,49.13312951,51.45337431,48.71603954,49.66072573,692150.6009,AAVE,249940843.4
2020-10-12,49.66157329,54.42141763,48.75407708,52.23869222,1354836.065,AAVE,262915666.3
2020-10-13,52.23839242,57.48190422,49.59873521,51.12431679,1386221.207,AAVE,257307050.4
2020-10-14,51.37289869,57.85394649,49.62952942,51.31651791,3132405.422,AAVE,258274392.5
2020-10-15,51.38760962,52.08068541,44.01832531,44.01918294,5883146.063,AAVE,221547139.1
2020-10-16,42.89060653,43.90673033,39.14295677,39.49584426,52855204.94,AAVE,365071463.3
2020-10-17,39.48619161,43.07737327,38.63361292,41.36699325,43339687.25,AAVE,382367032.3
2020-10-18,41.38959771,41.7494876,39.53158618,40.74697166,40441163.46,AAVE,376635994.1
2020-10-19,40.83675675,40.9951837,35.95136399,36.01231739,49289896.51,AAVE,332872221.2
2020-10-20,36.04378522,36.31907005,32.1010995,32.18001748,60632325.59,AAVE,297449169.5
2020-10-21,32.25348971,37.07820274,32.04814912,35.16035652,43831234.96,AAVE,324997301.5
2020-10-22,35.09748742,39.85692062,33.58946348,38.03165056,54717366.38,AAVE,402396251.5
2020-10-23,37.73059438,42.54665591,36.92467124,41.68663736,76081859.91,AAVE,445257058
2020-10-24,41.68663733,42.43970617,38.72882165,39.45502214,57658170.29,AAVE,421421064.3
2020-10-25,39.45502214,40.92850939,37.60120084,37.90476078,43970451.96,AAVE,404862645.2
2020-10-26,37.90476254,39.16386433,35.07196756,36.03392191,50307222.85,AAVE,384880121.6
2020-10-27,36.0339136,38.86918184,34.46963521,34.87153083,58581307.85,AAVE,372464564.4
2020-10-28,34.87153639,35.56402236,32.00005907,32.39408292,60533866.83,AAVE,346002819.3
2020-10-29,32.39408189,33.1554836,28.24077345,29.09833402,66304785.65,AAVE,310800760.6
2020-10-30,29.09834147,31.98077334,27.79246068,31.21782294,77280723.59,AAVE,350090548.4
2020-10-31,31.21782294,32.90016101,29.61025941,29.70751775,58631071.61,AAVE,333516029.3
2020-11-01,29.70751776,31.0670602,28.49448212,30.65727643,49568339.16,AAVE,345465544
2020-11-02,30.65728227,33.92358529,29.34464956,29.73152358,87180146.47,AAVE,335349717.5
2020-11-03,29.73152554,30.06291681,27.53711073,28.04280321,56775011.6,AAVE,316455541.6
2020-11-04,28.04297069,28.4330692,26.08951824,27.71508436,50464690.51,AAVE,313021334.6
2020-11-05,27.7150798,32.3030396,25.96615498,30.95562668,85212411.64,AAVE,350205472.9
2020-11-06,30.95511845,40.76907497,30.8551283,38.45744081,147304661,AAVE,435876358.2
2020-11-07,38.45744081,51.42799241,38.45744081,44.60489962,200580053.6,AAVE,507707213.2
2020-11-08,44.60489961,54.78636021,42.86425511,53.74937894,174706008.6,AAVE,613014913.9
2020-11-09,53.74937384,58.36411095,49.86012895,54.88649964,386011347.7,AAVE,626843328.1
2020-11-10,54.88650532,70.30982523,53.17903589,67.00111098,433793206.5,AAVE,780700254.1
2020-11-11,67.00111108,68.77859822,53.71675388,54.69964668,354136841.3,AAVE,638025534.6
2020-11-12,54.69962256,59.61831483,50.52310167,51.63241804,244505561.5,AAVE,603421827.6
2020-11-13,51.63243434,66.12366042,51.1791527,63.39907168,318852071.2,AAVE,743396746.2
2020-11-14,63.39907168,68.37704309,57.89727345,67.01611273,243698854.7,AAVE,786814070.9
2020-11-15,67.01611268,71.17455519,60.08891509,64.23729542,258275517.1,AAVE,754769243
2020-11-16,64.23729391,74.0423007,61.20922869,71.76639355,252527244.7,AAVE,843863117.2
2020-11-17,73.2530654,79.56212338,68.95632584,78.44328478,310951195.5,AAVE,923384720
2020-11-18,78.44275754,79.21050482,67.64859817,75.23227405,291394550.8,AAVE,887327038.6
2020-11-19,75.23277433,80.73120239,70.5034588,75.85718351,275294182.3,AAVE,895838057.8
2020-11-20,75.85718441,82.17322523,74.68948917,75.06539972,260578165.5,AAVE,888309702.5
2020-11-21,75.06539968,76.89173349,67.79606731,70.42424685,237984829.2,AAVE,833647262.7
2020-11-22,70.4242469,74.6597895,63.29912732,68.42477869,209068686.4,AAVE,811198457.4
2020-11-23,68.42478443,73.77057074,65.73764591,71.83861244,220212896.1,AAVE,852034424.5
2020-11-24,71.85567173,74.38013135,66.27866009,66.73867871,193004081.2,AAVE,792032288.2
2020-11-25,66.71556336,67.45255654,59.55788547,61.80533895,154888752.2,AAVE,733874939.3
2020-11-26,61.81669679,65.09772852,50.38421932,63.99345248,282502058.5,AAVE,760506808.7
2020-11-27,64.00578618,68.66542935,56.65032306,60.73871861,201844805.8,AAVE,722139363.8
2020-11-28,60.74922406,66.20104081,58.979246,63.94728703,150605043.4,AAVE,760508853.2
2020-11-29,63.94875712,69.56144009,62.04129627,68.85312443,161791286.3,AAVE,819035970.5
2020-11-30,68.85644439,79.46509408,68.85644439,76.41953515,288079549.9,AAVE,909941093
2020-12-01,76.42472206,78.86189102,70.94403421,74.86836458,268968536.9,AAVE,891921516
2020-12-02,74.8611544,89.93801025,72.4543506,86.32324982,410949897.5,AAVE,1029525776
2020-12-03,86.38082732,94.06976137,83.21397488,91.67564477,390370348.4,AAVE,1093762157
2020-12-04,91.68452862,92.73576711,80.18386018,81.6418197,344330864.1,AAVE,974344644
2020-12-05,81.58988912,91.92059987,79.94649654,91.92059987,321071928.2,AAVE,1097810892
2020-12-06,91.94666405,92.73346394,84.95069045,87.95642649,261643152.8,AAVE,1051203169
2020-12-07,87.95654066,94.70016225,86.90958728,90.9602979,299145687.7,AAVE,1087477656
2020-12-08,90.95032482,91.09876956,78.20985346,79.94619074,376267574.8,AAVE,956117556.5
2020-12-09,79.92281871,86.12544951,75.09706845,82.11372218,357447824,AAVE,982942930
2020-12-10,82.18282288,83.05117464,75.8590325,76.64575648,299977127,AAVE,917596922.5
2020-12-11,76.62523273,78.34898133,70.70723382,74.72982934,314260628.6,AAVE,894777251.9
